AlbumID,Title,ReleaseDate
106,"Kattradhu Tamil",2019
145,Aruvi,2016
287,"Aranmanai 2",2016
374,"Alaipayuthey ",2000
389,Paiyaa,2010
405,96,2018
439,Ratsasan,2018
469,"7G Rainbow Colony",2004
473,"Varuvádzhi... Part 2",2001
481,"Minnale (Theatrical Version)",2001
499,"Vaaranam Aayiram",2008
557,Kaithi,2019
565,Kanaa,2018
641,"O Kadhal Kanmani",2015
651,"Irumbu Thirai",2018
691,"Naalaiya Varum",2006
694,Comali,2019
785,"Nerungi Vaa Muthuvam",2017
823,"Nenjathe Atle",2002
824,Kaththi,2014
897,Remo,2016
902,"Deiva Thirumagan",2011
964,Master,2021
